sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Spike Test,47810,570,0,6300,1170,471.37290545768866,0.7986822840409956,642.8667473443593,1552.5389968443255,2472.9851704664297
TOTAL,47810,570,0,6300,1170,471.37290545768866,0.7986822840409956,642.8667473443593,1552.5389968443255,2472.9851704664297
